"Date","Price","Open","High","Low","Vol.","Change %"
"May 18","71.56","68.53","72.30","66.85","-","4.36%"
"Apr 18","68.57","64.91","69.56","61.81","12.71M","5.59%"
"Mar 18","64.94","61.55","66.55","59.95","12.38M","5.35%"
"Feb 18","61.64","64.76","66.30","58.07","11.99M","-4.77%"
"Jan 18","64.73","60.20","66.66","60.10","12.77M","7.13%"
"Dec 17","60.42","57.42","60.51","55.82","9.49M","5.26%"
"Nov 17","57.40","54.65","59.05","53.89","12.53M","5.55%"
"Oct 17","54.38","51.64","54.85","49.10","11.95M","5.24%"
"Sep 17","51.67","47.08","52.86","46.56","12.24M","9.40%"
"Aug 17","47.23","50.21","50.43","45.58","17.17M","-5.86%"
"Jul 17","50.17","46.28","50.41","43.65","14.57M","8.97%"
"Jun 17","46.04","48.63","49.17","42.05","15.23M","-4.72%"
"May 17","48.32","49.17","52.00","43.76","14.25M","-2.05%"
"Apr 17","49.33","50.69","53.76","48.20","9.72M","-2.51%"
"Mar 17","50.60","53.95","54.44","47.01","12.60M","-6.31%"
"Feb 17","54.01","52.76","54.94","51.22","9.09M","2.27%"
"Jan 17","52.81","54.20","55.24","50.71","10.11M","-1.69%"
"Dec 16","53.72","49.07","54.51","48.98","10.64M","8.66%"
"Nov 16","49.44","46.77","49.90","42.20","13.50M","5.51%"
"Oct 16","46.86","48.04","51.93","46.63","10.82M","-2.86%"
"Sep 16","48.24","44.85","48.32","42.55","12.37M","7.92%"
"Aug 16","44.70","41.35","48.75","39.19","11.59M","7.45%"
"Jul 16","41.60","48.38","49.35","40.57","9.34M","-13.93%"
"Jun 16","48.33","48.82","51.67","45.83","10.42M","-1.57%"
"May 16","49.10","45.90","50.21","43.03","11.20M","6.93%"
"Apr 16","45.92","38.14","46.78","35.24","11.62M","19.77%"
"Mar 16","38.34","33.90","41.90","33.37","10.88M","13.60%"
"Feb 16","33.75","33.83","34.69","26.05","11.47M","0.39%"
"Jan 16","33.62","37.60","38.39","26.19","10.39M","-9.23%"
"Dec 15","37.04","41.73","42.23","33.98","8.70M","-11.07%"
"Nov 15","41.65","46.43","48.36","38.99","7.88M","-10.60%"
"Oct 15","46.59","45.38","50.92","42.58","8.31M","3.33%"
"Sep 15","45.09","48.10","48.87","43.21","7.97M","-8.35%"
"Aug 15","49.20","46.86","49.33","37.75","8.24M","4.41%"
"Jul 15","47.12","58.98","58.98","46.68","7.17M","-20.77%"
"Jun 15","59.47","60.29","61.82","56.83","6.54M","-1.38%"
"May 15","60.30","59.79","62.58","56.51","6.34M","1.12%"
"Apr 15","59.63","47.55","59.85","47.05","7.63M","25.27%"
"Mar 15","47.60","49.45","52.48","42.03","7.69M","-4.34%"
"Feb 15","49.76","47.59","54.24","46.67","8.46M","3.15%"
"Jan 15","48.24","53.76","55.11","43.58","7.31M","-9.44%"
"Dec 14","53.27","66.00","69.54","52.44","6.56M","-19.47%"
"Nov 14","66.15","80.59","80.98","65.69","5.85M","-17.87%"
