"Date","Price","Open","High","Low","Vol.","Change %"
"May 18","12,948.14","12,601.64","12,961.56","12,598.46","-","2.66%"
"Apr 18","12,612.11","11,997.47","12,647.16","11,792.35","1.92B","4.26%"
"Mar 18","12,096.73","12,386.40","12,459.90","11,726.62","2.49B","-2.73%"
"Feb 18","12,435.85","13,235.15","13,301.41","12,003.36","2.40B","-5.71%"
"Jan 18","13,189.48","12,897.69","13,596.89","12,745.15","2.17B","2.10%"
"Dec 17","12,917.64","13,044.15","13,338.91","12,810.13","1.67B","-0.82%"
"Nov 17","13,023.98","13,342.44","13,525.56","12,847.88","2.19B","-1.55%"
"Oct 17","13,229.57","12,866.27","13,255.38","12,849.59","1.61B","3.12%"
"Sep 17","12,828.86","12,101.15","12,828.86","12,050.53","1.83B","6.41%"
"Aug 17","12,055.84","12,147.89","12,336.00","11,868.84","1.79B","-0.52%"
"Jul 17","12,118.25","12,396.34","12,676.52","12,097.36","1.83B","-1.68%"
"Jun 17","12,325.12","12,623.61","12,951.54","12,319.00","2.11B","-2.30%"
