"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 14","9,980.85","9,305.73","9,992.67","9,148.78","1.84B","7.01%"
"Oct 14","9,326.87","9,454.04","9,520.97","8,354.97","2.63B","-1.56%"
"Sep 14","9,474.30","9,484.53","9,891.20","9,369.62","1.72B","0.04%"
"Aug 14","9,470.17","9,379.74","9,600.85","8,903.49","1.69B","0.67%"
"Jul 14","9,407.48","9,853.74","10,032.28","9,395.35","1.71B","-4.33%"
"Jun 14","9,833.07","9,986.86","10,050.98","9,749.75","1.71B","-1.11%"
"May 14","9,943.27","9,611.79","9,970.77","9,407.09","1.77B","3.54%"
"Apr 14","9,603.23","9,601.96","9,721.50","9,166.53","1.60B","0.50%"
"Mar 14","9,555.91","9,553.08","9,634.82","8,913.27","2.04B","-1.40%"
"Feb 14","9,692.08","9,318.77","9,720.66","9,071.25","1.69B","4.14%"
"Jan 14","9,306.48","9,598.25","9,794.05","9,166.05","2.13B","-2.57%"
"Dec 13","9,552.16","9,412.95","9,594.35","8,984.28","1.44B","1.56%"
"Nov 13","9,405.30","9,032.29","9,424.62","8,962.42","1.68B","4.11%"
"Oct 13","9,033.92","8,618.59","9,070.17","8,489.62","1.94B","5.11%"
"Sep 13","8,594.40","8,224.34","8,770.10","8,095.91","2.08B","6.06%"
"Aug 13","8,103.15","8,320.38","8,457.05","8,094.22","1.85B","-2.09%"
"Jul 13","8,275.97","8,000.02","8,415.33","7,730.37","2.09B","3.98%"
"Jun 13","7,959.22","8,291.49","8,395.56","7,655.83","2.05B","-4.67%"
"May 13","8,348.84","7,905.35","8,557.86","7,896.99","2.39B","5.50%"
"Apr 13","7,913.71","7,806.12","7,965.90","7,418.36","2.70B","1.52%"
"Mar 13","7,795.31","7,735.35","8,074.47","7,627.99","3.18B","0.69%"
"Feb 13","7,741.70","7,792.59","7,860.57","7,537.29","2.81B","-0.44%"
"Jan 13","7,776.05","7,689.46","7,871.79","7,634.26","2.74B","2.15%"
"Dec 12","7,612.39","7,427.41","7,682.90","7,417.30","1.90B","2.79%"
"Nov 12","7,405.50","7,255.30","7,442.60","6,950.53","2.86B","2.00%"
"Oct 12","7,260.63","7,227.81","7,447.81","7,120.68","2.73B","0.62%"
"Sep 12","7,216.15","6,946.61","7,478.53","6,892.86","3.42B","3.52%"
"Aug 12","6,970.79","6,775.99","7,105.43","6,596.21","2.80B","2.93%"
"Jul 12","6,772.26","6,405.39","6,835.19","6,324.53","3.15B","5.55%"
"Jun 12","6,416.28","6,259.76","6,427.49","5,914.43","3.39B","2.42%"
"May 12","6,264.38","6,861.30","6,875.87","6,208.09","3.35B","-7.35%"
"Apr 12","6,761.19","6,973.99","7,081.06","6,499.07","3.21B","-2.67%"
"Mar 12","6,946.83","6,831.97","7,194.33","6,612.61","3.74B","1.32%"
"Feb 12","6,856.08","6,482.95","6,971.03","6,482.56","3.64B","6.15%"
"Jan 12","6,458.91","5,900.18","6,574.19","5,900.18","3.83B","9.50%"
"Dec 11","5,898.35","6,080.48","6,170.04","5,637.53","3.00B","-3.13%"
"Nov 11","6,088.84","5,934.54","6,193.34","5,366.50","4.07B","-0.85%"
"Oct 11","6,141.34","5,311.93","6,430.60","5,125.44","3.74B","11.62%"
"Sep 11","5,502.02","5,793.10","5,794.50","4,965.80","4.65B","-4.89%"
"Aug 11","5,784.85","7,254.50","7,282.01","5,345.36","5.64B","-19.19%"
"Jul 11","7,158.77","7,374.49","7,523.53","6,996.26","3.30B","-2.95%"
"Jun 11","7,376.24","7,310.56","7,378.35","6,991.62","3.22B","1.13%"
"May 11","7,293.69","7,570.86","7,600.41","7,071.42","3.55B","-2.94%"
"Apr 11","7,514.46","7,086.56","7,514.69","6,994.56","2.42B","6.72%"
